Logistic Regression,Parameters Logistic Regression,Logistic Regression Mini-Batch SGD,Parameters Logistic Regression Mini-Batch SGD,Plain Vanilla Random Forest,Parameters Random Forest,MLP Classifier Adam,Parameters MLP Classifier Adam,MLP Classifier SGD,Parameters MLP Classifier SGD,XGBoost,Parameters XGBoost
0.2866498077024393,1.0,0.2866498077024393,1.0,0.7133501922975607,1.0,0.7480184570535447,0.001,0.7471868258271768,0.001,0.6843992609343486,3.0
0.44556544867472503,1.0,0.44556544867472503,1.0,0.0,1.0,0.4838228426160808,0.001,0.4635283643359817,0.001,0.5924649919517951,3.0
1.0,1.0,1.0,1.0,0.0,1.0,0.4119821740058899,0.001,0.381113419645143,0.001,0.8002811377902732,3.0
0.2866498077024393,1.0,0.2866498077024393,1.0,0.0,1.0,0.5861386317056583,0.001,0.5917586722318237,0.001,0.4703783803558908,3.0
0.4773511027896992,0.9,0.4855109123968774,0.9,0.7456794074776532,0.9,0.7493437634665705,0.0009,0.7470309209344296,0.0009,0.6877517666114157,2.9
0.51277549011123,0.9,0.5157895556629035,0.9,0.5166641581408522,0.9,0.49592542906881754,0.0009,0.4610690965720815,0.0009,0.592923308607556,2.9
0.9594670459643616,0.9,0.9556059700593836,0.9,0.47424502187621365,0.9,0.43077801022965956,0.0009,0.3775854784479742,0.0009,0.7933035755132867,2.9
0.34989946065747296,0.9,0.35330417590474716,0.9,0.5674953725237996,0.9,0.5857539557492613,0.0009,0.5922572196068205,0.0009,0.4734056806938739,2.9
0.6367888232361916,0.8,0.6305779632534019,0.8,0.7465889810188056,0.8,0.7484862223897312,0.0007999999999999999,0.7466670753074263,0.0007999999999999999,0.6912341829008495,2.8
0.5718969612172884,0.8,0.5681512205355037,0.8,0.5080030444253549,0.8,0.47678420290772267,0.0007999999999999999,0.46026347139873647,0.0007999999999999999,0.5934183050353815,2.8
0.8462984711735168,0.8,0.8477736032324541,0.8,0.45642075677410976,0.8,0.40123097095566174,0.0007999999999999999,0.3769269612096126,0.0007999999999999999,0.7860617123079181,2.8
0.431902440629189,0.8,0.42731362576540255,0.8,0.572832060894344,0.8,0.5907408315567111,0.0007999999999999999,0.591266547995283,0.0007999999999999999,0.4766650634751078,2.8
0.709789735754648,0.7000000000000001,0.7058396892168822,0.7000000000000001,0.7489539370679721,0.7000000000000001,0.7474207034294753,0.0006999999999999999,0.7463032465664046,0.0006999999999999999,0.694872547986583,2.6999999999999997
0.5843495795572424,0.7000000000000001,0.5817579255158805,0.7000000000000001,0.5037447635588342,0.7000000000000001,0.48349619976956354,0.0006999999999999999,0.4565696309084739,0.0006999999999999999,0.5936855449352235,2.6999999999999997
0.711747416418439,0.7000000000000001,0.7138640578928752,0.7000000000000001,0.4445379367089222,0.7000000000000001,0.41388880699676867,0.0006999999999999999,0.37186166390521175,0.0006999999999999999,0.7776484831863025,2.6999999999999997
0.4956661029230395,0.7000000000000001,0.4910669856325492,0.7000000000000001,0.5813037510732597,0.7000000000000001,0.584815927044217,0.0006999999999999999,0.5915354523511708,0.0006999999999999999,0.48016667414173836,2.6999999999999997
0.7394163529251248,0.6000000000000001,0.7418072559739226,0.6000000000000001,0.7482782782782783,0.6000000000000001,0.7468750025328973,0.0005999999999999998,0.7467450345081924,0.0005999999999999998,0.6982250097600974,2.5999999999999996
0.5490627334900515,0.6000000000000001,0.5311475603110017,0.6000000000000001,0.49382532249505057,0.6000000000000001,0.45751031620976745,0.0005999999999999998,0.45502990217215766,0.0005999999999999998,0.5937421506950378,2.5999999999999996
0.5535292944764457,0.6000000000000001,0.5116119163782387,0.6000000000000001,0.4283851192683798,0.6000000000000001,0.3738651879445129,0.0005999999999999998,0.36893915348328404,0.0005999999999999998,0.7692844258995887,2.5999999999999996
0.5447421583948788,0.6000000000000001,0.5544000323640549,0.6000000000000001,0.5829481927416993,0.6000000000000001,0.59393887403874,0.0005999999999999998,0.5938961181013804,0.0005999999999999998,0.4834948663801907,2.5999999999999996
0.7471608518099746,0.5000000000000001,0.7455755789527719,0.5000000000000001,0.7494477304565023,0.5000000000000001,0.7470308939168588,0.0004999999999999998,0.746095336226915,0.0004999999999999998,0.7020193101333452,2.4999999999999996
0.4635710974296396,0.5000000000000001,0.4758447681255098,0.5000000000000001,0.48923328844266045,0.5000000000000001,0.473691595340633,0.0004999999999999998,0.44999007120251344,0.0004999999999999998,0.5938384689762604,2.4999999999999996
0.3811974686377516,0.5000000000000001,0.40408324797107353,0.5000000000000001,0.4187319031493087,0.5000000000000001,0.39789295910744266,0.0004999999999999998,0.36241446246287146,0.0004999999999999998,0.7598754741781539,2.4999999999999996
0.591652326472209,0.5000000000000001,0.5814962686987328,0.5000000000000001,0.5884542735310485,0.5000000000000001,0.5874117436884332,0.0004999999999999998,0.5936673064629273,0.0004999999999999998,0.48741671396118935,2.4999999999999996
0.7379089345756012,0.40000000000000013,0.7372850786008681,0.40000000000000013,0.7499674573358783,0.40000000000000013,0.7470568746884536,0.0003999999999999998,0.7463032296804226,0.0003999999999999998,0.7060214600565479,2.3999999999999995
0.30886387788046493,0.40000000000000013,0.2949399022972923,0.40000000000000013,0.4815686386029833,0.40000000000000013,0.4631176608013745,0.0003999999999999998,0.4466898626605844,0.0003999999999999998,0.5940134903345122,2.3999999999999995
0.20441584876583024,0.40000000000000013,0.19621810928094097,0.40000000000000013,0.40517403129631563,0.40000000000000013,0.38120507296116696,0.0003999999999999998,0.35731530634298453,0.0003999999999999998,0.7502586468624978,2.3999999999999995
0.6326626960400101,0.40000000000000013,0.6350640665948223,0.40000000000000013,0.5936831364854516,0.40000000000000013,0.591455668639133,0.0003999999999999998,0.5959767584878878,0.0003999999999999998,0.4916957639346955,2.3999999999999995
0.7225499656201412,0.30000000000000016,0.7264483646939788,0.30000000000000016,0.7496296465156115,0.30000000000000016,0.7469269573216943,0.0002999999999999998,0.7456535753026982,0.0002999999999999998,0.7100756323124744,2.2999999999999994
0.09569214471702532,0.30000000000000016,0.13774930523493586,0.30000000000000016,0.47148689937853205,0.30000000000000016,0.46816196888540385,0.0002999999999999998,0.43814965537286954,0.0002999999999999998,0.59402050269085,2.2999999999999994
0.051278808352975214,0.30000000000000016,0.07849556828161715,0.30000000000000016,0.38966594696613244,0.30000000000000016,0.3888493515100057,0.0002999999999999998,0.3460309118567482,0.0002999999999999998,0.7399551781632262,2.2999999999999994
0.7293317942213319,0.30000000000000016,0.7269934111426049,0.30000000000000016,0.5970392476011627,0.30000000000000016,0.5888998269562437,0.0002999999999999998,0.5974463030618008,0.0002999999999999998,0.49624420095634914,2.2999999999999994
0.7133501922975607,0.20000000000000015,0.7149614189087873,0.20000000000000015,0.7496815979272119,0.20000000000000015,0.7470828993636011,0.00019999999999999982,0.7449519053466422,0.00019999999999999982,0.7137660197309319,2.1999999999999993
0.0,0.20000000000000015,0.0142816883326314,0.20000000000000015,0.4605246358253301,0.20000000000000015,0.46152889373833716,0.00019999999999999982,0.4248671830450544,0.00019999999999999982,0.5931169128169251,2.1999999999999993
0.0,0.20000000000000015,0.007367083612702732,0.20000000000000015,0.3728112234141226,0.20000000000000015,0.3783612612311439,0.00019999999999999982,0.328725424039937,0.00019999999999999982,0.7278083845178166,2.1999999999999993
0.0,0.20000000000000015,0.3075,0.20000000000000015,0.6025275595563274,0.20000000000000015,0.5924318783832435,0.00019999999999999982,0.6009195948949295,0.00019999999999999982,0.500587282448833,2.1999999999999993
0.7133501922975607,0.10000000000000014,0.7133501922975607,0.10000000000000014,0.7488239589116782,0.10000000000000014,0.747160845055582,9.999999999999982e-05,0.7426388939546833,9.999999999999982e-05,0.717404324027131,2.099999999999999
0.0,0.10000000000000014,0.0,0.10000000000000014,0.45308153419415953,0.10000000000000014,0.46990379414953887,9.999999999999982e-05,0.3851416374016725,9.999999999999982e-05,0.591699918473602,2.099999999999999
0.0,0.10000000000000014,0.0,0.10000000000000014,0.3630107409473852,0.10000000000000014,0.3910111932653865,9.999999999999982e-05,0.28141734835530574,9.999999999999982e-05,0.7143881300411193,2.099999999999999
0.0,0.10000000000000014,0.0,0.10000000000000014,0.6029233542724404,0.10000000000000014,0.5888871447245448,9.999999999999982e-05,0.6113076259661798,9.999999999999982e-05,0.5050796790023723,2.099999999999999
